num,num,num,num,num,num,num,num,num,num,num,num,class
1.0,20.0,1.0,0.0,4.0,0.0,1.0,0.0,0.0,4.0,17.0,61.04,['N']
1.0,24.0,1.0,1.0,2.0,0.0,1.0,0.0,1.0,2.0,25.0,43.73,['N']
1.0,22.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,3.0,29.0,74.57,['N']
2.0,20.0,1.0,0.0,4.0,0.0,1.0,0.0,0.0,1.0,6.0,47.55,['N']
2.0,18.0,1.0,0.0,3.0,0.0,5.0,0.0,0.0,5.0,21.0,25.38,['N']
2.0,19.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,6.0,19.0,52.73,['N']
1.0,20.0,1.0,0.0,4.0,0.0,1.0,0.0,0.0,3.0,11.0,57.0,['N']
1.0,19.0,1.0,1.0,2.0,0.0,3.0,0.0,0.0,5.0,23.0,59.38,['S']
2.0,26.0,1.0,1.0,4.0,0.0,6.0,0.0,0.0,2.0,16.0,73.72,['S']
2.0,23.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,5.0,28.0,60.22,['N']
1.0,118.0,1.0,0.0,1.0,0.0,2.0,1.0,1.0,1.0,5.0,0.0,['N']
1.0,18.0,1.0,0.0,3.0,0.0,4.0,1.0,1.0,6.0,19.0,50.45,['S']
1.0,22.0,1.0,0.0,3.0,0.0,5.0,0.0,0.0,5.0,23.0,76.5,['N']
1.0,19.0,1.0,1.0,4.0,0.0,6.0,0.0,0.0,5.0,23.0,65.81,['S']
2.0,21.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,4.0,19.0,49.06,['N']
2.0,21.0,1.0,0.0,1.0,0.0,2.0,1.0,1.0,3.0,22.0,70.36,['N']
1.0,26.0,1.0,0.0,4.0,0.0,7.0,0.0,1.0,1.0,16.0,74.77,['S']
2.0,21.0,1.0,0.0,1.0,0.0,2.0,1.0,1.0,3.0,29.0,66.58,['N']
1.0,20.0,1.0,1.0,2.0,0.0,1.0,0.0,1.0,3.0,9.0,69.19,['N']
1.0,22.0,1.0,0.0,4.0,0.0,1.0,0.0,0.0,8.0,20.0,63.3,['N']
2.0,22.0,1.0,0.0,3.0,0.0,5.0,0.0,0.0,5.0,23.0,58.0,['N']
2.0,20.0,1.0,1.0,2.0,0.0,3.0,0.0,0.0,4.0,16.0,56.42,['S']
2.0,20.0,1.0,0.0,3.0,0.0,5.0,0.0,0.0,5.0,23.0,52.35,['N']
1.0,118.0,1.0,0.0,4.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,['N']
1.0,23.0,1.0,0.0,3.0,0.0,5.0,0.0,0.0,4.0,27.0,61.85,['N']
2.0,27.0,1.0,1.0,2.0,0.0,1.0,0.0,1.0,1.0,16.0,80.76,['S']
2.0,21.0,1.0,0.0,1.0,0.0,2.0,1.0,1.0,2.0,9.0,57.11,['N']
1.0,19.0,1.0,0.0,3.0,0.0,4.0,1.0,1.0,3.0,11.0,46.0,['S']
2.0,24.0,1.0,0.0,4.0,0.0,7.0,0.0,1.0,2.0,21.0,82.13,['S']
1.0,23.0,1.0,0.0,4.0,0.0,7.0,1.0,1.0,5.0,26.0,77.0,['S']
2.0,20.0,1.0,1.0,2.0,0.0,1.0,0.0,1.0,3.0,12.0,62.7,['N']
2.0,18.0,1.0,0.0,3.0,0.0,4.0,1.0,1.0,5.0,21.0,29.13,['S']
1.0,18.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,5.0,21.0,43.25,['N']
